id,name,image_url,url,created_at,modified_at,modified_by
25165,Celebrate National Day with FairPrice,,celebrate-national-day-with-fairprice,2024-08-08T15:34:25+08:00,2024-08-08T15:34:25+08:00,11946
25046,Awesome August,,awesome-august,2024-08-07T16:35:34+08:00,2024-08-07T16:35:34+08:00,16568
24816,Milk powder top deals,,milk-powder-top-deals,2024-07-25T16:31:26+08:00,2024-07-25T16:31:26+08:00,16416
24770,Nurses Day,,nurses-day,2024-07-19T16:04:51+08:00,2024-07-19T16:04:51+08:00,16568
24769,Teacher's Day ,,teachers-day-,2024-07-19T16:03:13+08:00,2024-07-19T16:03:13+08:00,16568
24577,Samsung Launch Flip/Fold 2024,,samsung-launch-flipfold-2024,2024-07-11T19:18:34+08:00,2024-07-11T19:18:34+08:00,11946
24532,Milo sachet,,milo-sachet-1,2024-07-09T12:00:58+08:00,2024-07-10T15:47:17+08:00,16416
24393,Samsung S24 Ultra,,samsung-s24-ultra,2024-06-29T08:27:00+08:00,2024-06-29T08:27:00+08:00,11946
24307,Fresh Frozen Top Deals,,fresh-frozen-top-deals,2024-06-24T10:58:44+08:00,2024-06-24T10:58:44+08:00,16568
24167,Organic,https://media.nedigital.sg/fairprice/images/caeff983-1ef1-489c-8f7f-29f0e9170a35/Organic-Cat-SubBanner_Jun2024.jpg,organic-13,2024-06-14T13:09:53+08:00,2024-06-14T13:09:53+08:00,16416
24175,Organic Baby Food and Milk,https://media.nedigital.sg/fairprice/images/c8588262-0caf-4603-ae89-e26fd9cd6ac9/13187946_XL1.jpg,organic-baby-food-and-milk,2024-06-14T13:12:48+08:00,2024-06-14T13:12:48+08:00,16416
24174,Organic Snacks,https://media.nedigital.sg/fairprice/images/9da3f058-b1b2-4671-aab9-47f384fa897e/13104463_XL1.jpg,organic-snacks,2024-06-14T13:12:28+08:00,2024-06-14T13:12:28+08:00,16416
24173,Organic Drinks,https://media.nedigital.sg/fairprice/images/44a21726-8eb2-480c-9207-fa1f86fe48d5/13181555_XL1.jpg,organic-drinks,2024-06-14T13:12:10+08:00,2024-06-14T13:12:10+08:00,16416
24172,Organic Pantry Goods,https://media.nedigital.sg/fairprice/images/737b5632-7adb-44d9-986c-e038349991b0/13100022_XL1.jpg,organic-pantry-goods,2024-06-14T13:11:50+08:00,2024-06-14T13:11:50+08:00,16416
24171,"Organic Rice, Noodles & Cooking Ingredients",https://media.nedigital.sg/fairprice/images/42dbcaa9-fa2b-47e4-90a0-cf344c750f59/13197858_XL1.jpg,organic-rice-noodles-and-cooking-ingredients,2024-06-14T13:11:34+08:00,2024-06-14T13:11:34+08:00,16416
24170,Organic Meat & Seafood,https://media.nedigital.sg/fairprice/images/f0849a19-88d7-4436-a249-ef170cb76a8b/13232486_XL1.jpg,organic-meat-and-seafood,2024-06-14T13:11:16+08:00,2024-06-14T13:11:16+08:00,16416
24169,"Organic Dairy, Chilled & Eggs",https://media.nedigital.sg/fairprice/images/fec557da-9338-42d2-9819-4c9009733dd1/13057470_XL1.jpg,organic-dairy-chilled-and-eggs,2024-06-14T13:10:56+08:00,2024-06-14T13:10:56+08:00,16416
24168,Organic Fruits & Vegetables,https://media.nedigital.sg/fairprice/images/c53e1c64-ab58-4b2e-9918-8d91ea3652d3/13079945_XL1.jpg,organic-fruits-and-vegetables,2024-06-14T13:10:29+08:00,2024-06-14T13:10:29+08:00,16416
24157,Halal,https://media.nedigital.sg/fairprice/images/8dfe6107-00d7-4d5b-90e1-14a34c70acfd/Halal-Cat-SubBanner_Jun2024.jpg,halal-10,2024-06-14T10:49:33+08:00,2024-06-14T10:49:33+08:00,16416
24165,Halal Bakery,https://media.nedigital.sg/fairprice/images/859c99b9-1c90-4769-95e1-9750f2b078aa/13174581_XL1.jpg,halal-bakery,2024-06-14T10:53:17+08:00,2024-06-14T10:53:17+08:00,16416
24164,Halal Pantry Goods,https://media.nedigital.sg/fairprice/images/03e83a31-0991-48d3-b556-ed990fa5078a/13030409_XL1.jpg,halal-pantry-goods,2024-06-14T10:53:00+08:00,2024-06-14T10:53:00+08:00,16416
24163,Halal Drinks,https://media.nedigital.sg/fairprice/images/2f1efea0-eb53-4c40-b624-1939741227a0/11838626_XL1.jpg,halal-drinks-1,2024-06-14T10:52:39+08:00,2024-06-14T10:52:39+08:00,16416
24162,Halal Snacks & Confectionery,https://media.nedigital.sg/fairprice/images/e8776f43-3c94-428e-9abd-656069596437/13058274_XL1.jpg,halal-snacks-and-confectionery,2024-06-14T10:52:18+08:00,2024-06-14T10:52:18+08:00,16416
24161,Halal Meat & Seafood,https://media.nedigital.sg/fairprice/images/13818677-a6b4-4eba-9eaf-244acfe88e19/90084451_XL1.jpg,halal-meat-and-seafood,2024-06-14T10:51:58+08:00,2024-06-14T10:51:58+08:00,16416
24160,"Halal Rice, Noodles & Cooking Ingredients",https://media.nedigital.sg/fairprice/images/f2a3f7ed-c9e9-4f6a-af51-be1e6289b0e3/13128983_XL1.jpg,halal-rice-noodles-and-cooking-ingredients,2024-06-14T10:51:35+08:00,2024-06-14T10:51:35+08:00,16416
24159,"Halal Dairy, Chilled & Eggs",https://media.nedigital.sg/fairprice/images/bc18519f-8e99-4e9c-811c-b2ee996fc174/13093595_XL1.jpg,halal-dairy-chilled-and-eggs,2024-06-14T10:51:07+08:00,2024-06-14T10:51:07+08:00,16416
24158,Halal Frozen,https://media.nedigital.sg/fairprice/images/0c2b38dd-649e-439c-b103-b5e0d70367e0/13224928_XL1.jpg,halal-frozen-1,2024-06-14T10:50:34+08:00,2024-06-14T10:50:34+08:00,16416
24122,DF 6.6,,df-66,2024-06-07T20:05:19+08:00,2024-06-07T20:05:19+08:00,11946
24121,DF 4DS,,df-4ds-1,2024-06-07T20:03:36+08:00,2024-06-07T20:03:36+08:00,11946
24119,Durex,,durex-2,2024-06-07T16:40:28+08:00,2024-06-07T16:40:28+08:00,16416
24118,Airwick,,airwick-1,2024-06-07T16:36:13+08:00,2024-06-07T16:36:13+08:00,16416
24110,Back to school top deals,,back-to-school-top-deals,2024-06-06T11:49:37+08:00,2024-06-06T11:49:37+08:00,16568
24109,"Rice, Noodles & Cooking top deals",,rice-noodles-and-cooking-top-deals,2024-06-06T07:40:59+08:00,2024-06-06T07:40:59+08:00,16416
24086,Ecovacs,https://media.nedigital.sg/fairprice/images/2bec78e6-e8a1-40c3-be3f-f259bc4495fc/OG-Campaign-66MidYearSale-4DS-Ecovac-LandingSubBanner-20240606CP1C.jpg,supplier-ecovacs-4ds,2024-06-05T17:03:08+08:00,2024-06-05T17:03:08+08:00,16416
24081,Singtel,https://media.nedigital.sg/fairprice/images/0bcb925e-1e8c-49aa-a5bd-f0fdf723797d/OG-Campaign-66MidYearSale-4DS-Singtel-LandingSubBanner-20240606CP1D.jpg,supplier-singtel-4ds,2024-06-05T16:04:33+08:00,2024-06-05T16:04:33+08:00,16416
24045,Meiji Greek Style Yoghurt,,meiji-greek-style-yoghurt,2024-06-03T13:19:04+08:00,2024-06-03T13:19:04+08:00,16416
23982,Suntory boss,,supplier-suntory-boss,2024-05-28T10:11:04+08:00,2024-05-28T10:11:16+08:00,16416
23956,Knorr soups and condiments,,supplier-knorr-soups-and-condiments,2024-05-27T15:27:27+08:00,2024-05-27T15:27:27+08:00,16416
23955,Knorr ready to eat,,supplier-knorr-ready-to-eat,2024-05-27T15:27:00+08:00,2024-05-27T15:27:00+08:00,16416
23777,Electronics,https://media.nedigital.sg/fairprice/images/5b662d32-0038-4b33-8535-cf4531493dd5/Electronics-Campaign-Banner.jpg,electronics-5,2024-05-13T12:15:53+08:00,2024-05-13T12:15:53+08:00,2501
25244,Cameras & Drones,,cameras-and-drones,2024-08-10T05:23:47+08:00,2024-08-10T05:23:47+08:00,2501
23897,Camera Accessories,,camera-accessories,2024-05-23T11:42:24+08:00,2024-05-23T11:42:24+08:00,2501
23896,Drones,,drones,2024-05-23T11:41:59+08:00,2024-05-23T11:41:59+08:00,2501
23895,Cameras,,cameras-1,2024-05-23T11:41:34+08:00,2024-05-23T11:41:34+08:00,2501
25169,Computer & Home Office,,computer-and-home-office,2024-08-08T15:58:03+08:00,2024-08-08T15:58:03+08:00,2501
25243,Memory & SD Card,,memory-and-sd-card-1,2024-08-10T05:22:49+08:00,2024-08-10T05:22:49+08:00,2501
25177,Printers & Ink,,printers-and-ink-1,2024-08-08T17:26:49+08:00,2024-08-08T17:26:49+08:00,2501
25176,Microphones,,microphones,2024-08-08T17:25:51+08:00,2024-08-08T17:25:51+08:00,2501
23915,Mouse Pads & Mats,,mouse-pads-and-mats,2024-05-23T17:01:31+08:00,2024-05-23T17:01:31+08:00,2501
23914,Mouse,,mouse,2024-05-23T17:01:14+08:00,2024-05-23T17:01:14+08:00,2501
23913,Keyboard,,keyboard,2024-05-23T17:00:38+08:00,2024-05-23T17:00:38+08:00,2501
23912,Webcams,,webcam,2024-05-23T17:00:03+08:00,2024-05-23T17:00:03+08:00,2501
23909,Extension & Adaptors,,extension-and-adaptors,2024-05-23T14:58:02+08:00,2024-05-23T14:58:02+08:00,2501
23908,"Computer Docks, Hubs & Accessories",,computer-docks-hubs-and-accessories,2024-05-23T14:56:03+08:00,2024-05-23T14:56:03+08:00,2501
23894,Gaming Chair,,gaming-chair,2024-05-23T11:40:53+08:00,2024-05-23T11:40:53+08:00,2501
23892,Wi-Fi & Networking,,wi-fi-and-networking,2024-05-23T11:30:01+08:00,2024-05-23T11:30:01+08:00,2501
23891,Monitors,,monitors-2,2024-05-23T11:28:44+08:00,2024-05-23T11:28:44+08:00,2501
23889,Laptops,,laptops,2024-05-23T11:27:29+08:00,2024-05-23T11:27:29+08:00,2501
25168,Television & Gaming Entertainment,,television-and-gaming-entertainment,2024-08-08T15:57:07+08:00,2024-08-08T15:57:07+08:00,2501
25175,Video Games,,video-games-3,2024-08-08T16:02:23+08:00,2024-08-08T16:02:23+08:00,2501
25174,Video Consoles,,video-consoles-1,2024-08-08T16:02:10+08:00,2024-08-08T16:02:10+08:00,2501
25173,Projectors,,projectors,2024-08-08T16:01:45+08:00,2024-08-08T16:01:45+08:00,2501
25172,Television,,television-4,2024-08-08T16:01:17+08:00,2024-08-08T16:01:17+08:00,2501
23886,Speakers & Sound Bars,,speakers-and-sound-bars,2024-05-23T11:24:23+08:00,2024-05-23T11:24:23+08:00,2501
25167,Cooking Appliances,,cooking-appliances,2024-08-08T15:56:41+08:00,2024-08-08T15:56:41+08:00,2501
